Respondent_ID,SAMPLE,AB,Q6Rand,SYSTEM:IP Address,T1.,S1.,S2.,S3.,S3.REGION,GENDER/REGION,S4.,S5.,S6.,S7.,S8.,S5-S6.,S9_1,S9_2,S9_3,S9_4,S9_5,S9_6,S9_7,S9_10,S10.,S11.,S12_1,S12_2,S12_3,S12_4,S12_5,S12_6,S12_7,S12_8,S12_9,S12_10,S12_11,S12_12,S12_13,S13_1,S13_2,S13_3,S13_4,S13_5,S13_6,S13_7,S13_8,S13_9,S13_10,S13_11,S13_12,S13_13,S13_14,S13_15,S14.,S15.:0-4,S15.:5-7,S15.:8-10,S15.:11-13,S15.:14-18,S15.:None,S16.:0-4,S16.:5-7,S16.:8-10,S16.:11-13,S16.:14-18,S16.:None,Q1.,Q2_1,Q2_2,Q2_3,Q2_4,FAN,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q5_16,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q7.,Q8.,Q9.,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12
777,3,1,2,172.58.201.124,1,2,1,31,1,2,27,1,2,3,5,1,,,,,,,,8,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,1,,,,,,2,4,2,1,4,3,2,2,5,2,2,2,2,2,5,5,5,1,1,1,1,,,,4,,,,8,,,,,,,,,,,,4,,6,,,9,10,11,12,,14,,,3,2,0,4,3,6,4,3,6,3,6,4,1,1,6
780,1,1,3,74.218.205.130,1,1,1,33,1,1,32,1,2,5,1,1,,,,,,,,8,6,6,,,,,,,7,,,10,,,,,,,,,,,,,,11,12,,,,2,,,,,,,,,,,,,2,1,1,1,1,1,2,2,4,2,3,2,1,3,4,1,2,2,1,1,3,1,,,4,,,,,,10,,,13,,15,,,,,4,,,,,,10,11,12,,,15,,1,2,3,5,5,4,3,3,4,2,5,4,4,4,5
784,1,1,3,204.156.82.80,1,1,1,47,3,5,30,1,2,5,1,1,,,,,,,,8,5,8,,2,3,,5,6,7,,9,,,12,,,,3,,,,7,,,,11,12,,14,,1,1,,,,,,,,,,,6,1,1,1,1,2,1,3,2,2,3,4,2,2,2,4,2,2,2,1,1,1,,,,4,,,,,,,,,,,,,,2,3,4,,6,,8,,10,,12,,14,,,3,3,8,5,4,4,5,3,2,2,2,2,1,4,5
785,3,2,3,173.31.108.179,1,2,1,16,2,4,34,1,2,3,1,1,,,,,,,,8,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,5,,,,,,,6,2,1,4,2,2,1,1,4,3,1,1,4,4,3,4,3,4,1,1,1,1,1,2,3,4,,6,7,8,9,10,,12,,14,15,,,,,,,,,,,,,,,,,16,1,1,10,4,3,4,3,1,3,4,3,2,2,2,3
786,1,2,2,24.28.18.88,1,1,1,44,3,5,58,1,2,5,1,1,,,,,,,,8,4,5,,2,3,4,5,6,,,,10,11,,,1,,,,,,,,,,,,,14,,1,1,2,,,,,,,,,,6,2,3,2,4,1,2,3,2,3,3,3,2,1,3,3,2,2,2,1,1,1,,,,,,,,,,,,,,,15,,,2,,,,,,8,,10,,,,,,,2,2,4,5,5,6,4,3,3,4,4,2,2,3,4
788,1,2,3,66.87.64.145,1,1,1,29,4,7,32,1,2,6,1,1,,,,,,,,8,5,3,1,2,,,,6,,,9,10,,,,,,,,,,,,,,11,12,,14,,2,,,,,,,,,,,,,1,2,3,1,1,2,2,4,3,3,3,4,1,2,4,3,4,3,3,1,3,,,,4,,,7,,9,,,,,,,,,,,4,5,6,,,,,,,,,,,1,3,7,5,4,4,3,1,2,2,5,3,1,1,5
789,1,1,2,71.183.238.198,1,2,1,33,1,2,34,2,2,6,1,2,,,,,,6,,,6,6,1,2,3,4,,6,7,,,10,11,,,,2,,,,,,8,,,11,12,13,14,,2,,,,,,,,,,,,,2,2,1,1,1,2,2,1,2,2,2,2,2,2,3,1,6,1,3,3,1,1,,,,,6,7,,,10,,,,14,,,,,,4,,,,8,,10,,,,14,,,1,1,9,3,5,5,2,2,2,3,2,3,6,1,5
793,3,1,3,73.60.165.183,1,2,1,22,1,2,62,1,2,3,5,1,,,,,,,,8,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,6,2,4,4,1,3,3,4,2,6,3,4,2,2,2,6,6,6,2,2,2,2,,,,4,,6,,,,10,,,,,,,,,,4,,6,,8,,10,,,,,,,3,2,0,5,5,5,5,3,5,5,5,5,5,5,6
794,2,1,2,98.110.61.108,1,1,1,31,1,1,53,1,2,3,7,1,,,,,,,,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,2,1,2,1,1,3,3,1,1,3,2,2,2,3,3,1,1,1,1,,,3,4,,6,,,,,11,,,,,,,,,,,,,,,,,,13,14,15,,1,1,7,2,2,2,1,1,1,2,3,3,3,2,2
798,2,2,3,99.63.40.99,1,1,1,15,2,3,75,1,2,3,7,1,,,,,,,,8,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,3,3,2,2,2,2,2,4,3,2,2,3,4,4,2,4,1,1,3,1,,,,4,,,,,,10,11,12,,,,,,,,4,,,,,,10,,,,,,,3,3,6,4,3,3,2,3,6,4,3,2,2,2,3
806,2,2,3,65.127.169.70,1,1,1,45,4,7,39,1,2,3,1,1,,,,,,,,8,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,1,1,3,1,1,1,3,2,1,1,1,4,3,4,2,1,1,1,2,,,,4,,6,,8,,10,,12,,14,,,,,,,,,,,,,,,,,,16,1,1,9,3,3,3,3,1,2,3,1,1,1,1,4
808,2,1,2,70.92.151.72,1,1,1,50,2,3,61,1,2,3,7,1,,,,,,,,8,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,4,3,1,1,1,3,3,2,1,3,2,6,2,6,6,1,1,3,1,,,,4,,,,8,,10,,,,14,,,,,,4,,,,8,,,,12,,,,,2,3,7,4,3,3,3,2,3,2,2,2,2,2,4
809,2,1,2,99.40.73.201,1,1,1,14,2,3,61,1,2,3,2,1,,,,,,,,8,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,2,4,2,2,2,2,4,6,3,2,4,2,4,6,5,5,2,2,1,2,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2,2,5,5,5,4,5,4,3,3,4,4,3,4,4
810,1,1,1,96.241.88.203,1,1,1,9,3,5,48,1,2,6,1,1,,,,,,,,8,5,7,,,3,,,,7,,,,11,,,,,,,,,,,,,,12,13,14,,2,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,2,2,2,5,2,3,5,6,1,1,1,1,,,,4,,,,8,,10,11,12,,,,,,,,,,6,,,9,10,,12,,,,,1,1,9,4,3,3,3,1,2,2,2,1,3,2,2
811,2,1,2,99.66.52.205,1,2,1,23,2,4,73,1,2,3,7,1,,,,,,,,8,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,2,4,1,3,2,1,1,6,1,1,2,1,2,6,5,5,1,1,1,1,1,,,,,6,7,8,,,11,,,,,,1,,,,,6,,8,9,10,11,,,,,,1,3,8,1,1,1,1,1,6,1,1,1,6,6,6
813,1,2,2,24.113.148.128,1,1,1,48,4,7,50,1,2,6,1,1,,,,,,,,8,4,7,,,,,,6,7,,9,10,,12,,1,2,,,,,,,9,,11,12,13,,,2,,,,,,,,,,,,,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,,,4,,,,,,10,,,,14,,,,,,4,,6,,,9,10,,,,14,,,1,3,7,4,3,3,4,1,3,2,3,3,3,3,3
816,2,1,3,184.15.167.237,1,1,1,49,3,5,53,1,2,3,1,1,,,,,,,,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,1,2,3,1,1,1,3,2,2,2,2,3,3,5,5,1,1,3,3,,,,4,,,,,,,,12,,,,,,,,4,,,,,,,,,,,,,1,3,8,4,3,2,3,3,3,4,3,2,3,3,5
817,1,2,2,66.87.120.125,1,1,1,44,3,5,40,1,2,5,1,1,,,,,,,,8,4,7,1,2,3,,,,7,,,,11,12,,1,,3,,,,,,,,11,,13,14,,1,1,,,,,,,,,,,6,2,3,1,2,1,2,3,1,4,2,3,1,2,1,4,2,2,2,1,2,1,,,,4,,,,,,,,,,,,,,,,4,,,,8,,10,,12,13,14,,,2,2,3,3,5,4,3,2,3,2,4,6,4,6,4
819,2,1,3,24.129.175.58,1,1,1,10,3,5,61,1,2,3,3,1,,,,,,,,8,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,,,6,7,8,9,10,11,12,,14,,,1,2,3,,,6,7,8,9,10,11,12,,14,,,1,1,10,5,2,3,1,1,1,1,1,1,1,1,1
821,1,1,2,70.196.147.154,1,1,1,19,3,5,29,1,2,6,1,1,,,,,,,7,,6,3,,,,,5,,7,,9,10,,12,,1,,,,,6,,,,,,,13,,,1,,,,,,6,1,,3,,,,1,1,4,1,2,1,1,3,2,2,1,4,1,4,2,2,5,2,2,1,2,1,,,4,,,,,,10,,,,14,,,,,,,,6,,8,,,,,,,,,1,2,8,2,2,2,2,1,3,3,2,1,1,1,3
823,1,2,2,99.203.129.109,1,1,1,23,2,3,33,5,2,5,1,5,,,,,,,,8,4,7,1,2,3,,5,6,7,,9,10,11,12,,,,3,,,,,,,,11,12,,14,,1,,2,,,,,1,,,,,,2,1,1,1,1,1,1,1,2,2,1,1,2,2,3,2,2,1,1,1,1,1,2,,,,6,,8,,10,,12,,14,,,1,2,3,,5,6,7,8,9,10,11,12,,14,,,1,1,10,3,2,3,3,1,2,2,2,1,1,3,2
824,1,2,3,156.111.111.124,1,1,1,31,1,1,51,1,2,6,1,1,,,,,,,7,,8,7,,2,,,,,7,,,,,,,1,2,,,,,,,,10,,,,,,1,,,,,,6,,,,,5,,2,4,3,1,1,3,3,2,6,3,3,2,3,2,6,6,6,3,3,3,3,,,,4,,,,,,10,,12,13,,,,,,,4,,,,,,10,,12,,,,,3,3,0,4,6,6,4,3,6,6,6,6,3,6,6
833,2,1,2,50.233.24.218,1,1,1,6,4,7,42,1,2,3,1,1,,,,,,,,8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,5,,1,1,1,1,3,1,1,1,2,2,1,1,1,2,4,1,1,1,1,1,1,,,,4,,6,,,,10,11,12,,14,15,,,2,,4,,6,,8,,10,11,12,,14,,,1,3,10,5,3,3,3,2,2,4,4,1,1,1,4
836,1,2,1,199.102.208.67,1,1,1,24,2,3,49,1,2,5,3,1,,,,,,,7,,6,3,,,,,5,6,7,,9,10,11,,,1,2,,,,,7,,,,11,12,,,,2,,,,,,,,,,,,,3,1,1,3,1,1,1,1,6,2,1,1,2,2,6,2,2,1,1,3,1,1,,,4,,,,,,,,,,,15,,,2,,,,,,,,,,,,14,,,1,2,9,4,1,6,4,1,4,1,2,2,1,1,6
839,1,2,3,67.83.186.99,1,1,1,33,1,1,49,1,2,6,1,1,,,,,,,,8,5,3,,2,3,,,,7,8,,10,,12,,,2,3,,,,,,,10,,,13,,,1,1,,,4,,,,,3,,,,2,1,1,1,1,1,2,1,3,4,3,2,1,2,4,4,4,2,1,1,2,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,3,2,6,1,5,1,3,4,3,3,3,2,3,5,5
840,1,1,1,98.221.148.240,1,1,1,31,1,1,52,1,2,5,1,1,,,,,,,,8,4,7,,2,,4,,,7,,,,,,,,,,4,,,,,,,,,13,,,2,,,,,,,,,,,,,2,4,1,1,1,3,3,2,4,2,3,2,3,2,3,3,3,1,1,1,1,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,12,,,,,3,3,5,4,3,3,3,3,3,3,2,3,3,3,4
844,2,1,2,71.120.121.37,1,1,1,39,1,1,63,1,2,3,1,1,,,,,,,,8,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,2,1,4,1,2,2,1,2,3,2,1,2,3,2,2,1,2,1,1,2,1,2,,4,,,7,8,,,11,,,14,15,,1,2,3,,5,6,7,8,9,10,11,12,,14,,,2,2,6,4,4,2,4,2,2,4,2,2,2,2,4
846,1,2,2,70.214.106.120,1,1,1,33,1,1,49,1,2,5,1,1,,,,,,,,8,6,2,,2,3,4,5,6,,8,,10,,,,,,,,,,,,,,11,12,,,,1,,,,,5,,,,,,,6,1,1,1,2,2,1,1,1,2,4,2,1,2,4,3,4,2,2,1,1,2,,,,,,6,,,,10,,,,14,,,,,3,,,6,,,9,10,11,,13,,,,1,1,8,1,3,3,4,2,5,2,3,2,1,5,3
848,2,2,2,142.0.13.159,1,2,1,42,2,4,35,1,2,3,5,1,,,,,,,,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,5,,1,,3,,5,,1,1,3,1,4,1,1,1,1,1,1,1,6,1,5,5,5,1,1,1,1,,,,,,6,,,,10,,,,,,,,,,,,6,,8,,,,,,,,,1,1,10,4,3,2,3,1,6,4,2,2,2,2,2
850,1,2,2,68.2.238.185,1,1,1,3,4,7,43,1,2,5,1,1,,,,,,,,8,7,3,,2,3,4,5,6,7,,9,10,11,,,,2,3,4,,,7,,,,11,12,13,14,,1,,,,,5,,,,,,,6,1,1,2,4,1,1,2,2,4,3,2,2,1,4,4,4,3,1,1,1,2,,,,4,,,,,,,,,,14,,,,,,4,,6,,,,,,,,,,,2,2,7,5,2,3,5,3,2,3,2,4,5,5,3
851,1,1,3,174.200.2.69,1,1,1,39,1,1,34,1,2,5,1,1,,,,,,,,8,5,2,,2,,,,,,8,9,,,,,1,,,,,,7,,,10,,,13,,,2,,,,,,,,,,,,,1,3,1,4,2,2,3,4,2,2,3,4,3,3,4,4,4,1,2,1,2,,2,,,,,,8,,10,,,,,,,,,,4,,,,,,,,,,14,,,1,1,8,4,5,4,3,1,3,2,3,1,2,3,5
856,3,2,3,70.179.31.7,1,2,2,5,4,8,34,1,2,2,5,1,,,,,,,,8,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,5,,2,4,4,1,3,3,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,16,3,3,0,6,6,6,6,6,6,6,6,6,6,6,6
857,2,1,2,99.203.129.13,1,1,1,23,2,3,44,1,2,4,1,1,,,,,,,,8,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,6,2,1,4,1,4,1,1,4,2,2,1,4,4,4,1,5,5,1,1,1,1,,,,,,,,8,,,,,,,15,,,,,4,,,,8,,,,,,,,,1,3,10,5,5,5,5,2,6,5,4,6,5,6,5
859,2,2,3,108.188.200.144,1,1,1,10,3,5,55,1,2,3,7,1,,,,,,,,8,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,3,2,1,1,1,2,3,3,1,3,2,4,2,3,2,1,1,1,3,,,,,,6,,,,10,11,,,14,15,,,,,,,,,,,,,,,,,16,2,3,9,5,2,2,5,2,3,2,1,4,3,4,1
863,1,2,3,162.238.69.5,1,1,1,44,3,5,30,1,2,5,1,1,,,,,,,,8,5,6,1,2,3,4,,,,,9,,11,12,,1,,,,,,,,,,11,12,,14,,1,1,,,,5,,,,,,5,,2,1,1,1,1,1,3,2,3,2,3,1,3,2,1,4,3,1,1,2,2,,,,,,6,,8,,10,11,,13,,,,,2,3,,,6,7,,9,10,11,,,,,,1,1,8,1,5,2,2,3,2,1,3,3,1,1,2
868,2,1,1,99.5.122.186,1,1,1,41,3,5,49,1,2,3,1,1,,,,,,,,8,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,6,,,,4,,,1,1,2,2,2,1,2,2,2,2,3,2,6,3,4,3,4,3,1,3,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,2,3,5,3,4,3,5,2,5,2,1,1,1,4,4
873,1,1,1,174.221.143.199,1,1,1,50,2,3,34,1,2,5,1,1,,,,,,,,8,5,7,,,,,,6,,,,10,,,,1,,3,,,,,,,,,12,,14,,1,,,,,,6,1,,,,,,2,2,3,1,1,2,2,2,3,3,2,2,2,3,3,2,6,1,2,1,1,,,,4,,,,,,,,12,,,,,,2,,,,,7,8,,10,,,,14,,,1,3,8,4,2,3,4,2,3,2,2,2,2,3,5
875,1,1,2,64.121.225.15,1,1,1,39,1,1,37,1,2,6,1,1,,,,,,,,8,6,1,,2,3,,5,,7,,,10,11,,,1,,3,,,,,,,,,,,14,,1,,,,,5,,,,,,,6,1,1,4,1,2,1,2,2,2,3,2,2,1,2,3,5,2,1,1,1,1,,,,4,,6,,,,,11,,,,,,,,,,,6,,,,,,,,,,,1,1,10,3,3,2,2,2,3,4,2,2,2,1,3
877,1,2,2,100.34.149.46,1,1,1,39,1,1,39,1,2,6,1,1,,,,,,,,8,4,6,1,2,3,,,6,7,,,,,,,,,,,,,,,,,11,,,14,,2,,,,,,,,,,,,,2,2,3,1,1,2,2,2,3,2,2,2,2,2,4,2,6,1,2,1,1,1,,,4,,,,,,10,,12,,,,,1,,,,,6,,,,,,,13,,,,3,2,5,5,4,5,3,2,3,4,3,2,3,3,5
879,2,1,2,72.230.82.37,1,1,1,33,1,1,52,1,2,3,1,1,,,,,,,,8,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,1,2,1,1,1,2,4,2,2,2,2,2,4,4,3,2,1,1,2,1,,,4,,,,,,,,,13,,15,,,,3,,,6,,8,9,10,,,,14,,,1,3,8,5,4,5,3,2,3,4,3,2,3,2,5
882,1,1,3,68.103.83.200,1,1,1,17,2,3,38,1,2,6,1,1,,,,,,,,8,5,6,1,2,,4,5,6,7,8,9,10,,,,,,,,,,,,,,11,,13,,,1,,,,,5,,,,,4,,,2,1,1,1,1,1,2,1,2,2,1,1,2,2,3,2,1,1,1,1,1,,,3,,,,,8,,,11,,,,15,,,,,4,,,,,,,11,,,,,,3,3,9,4,2,3,3,1,3,3,2,1,1,2,5
884,2,2,2,172.58.47.55,1,1,1,48,4,7,43,1,2,3,1,1,,,,,,,,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,3,,,,1,1,1,2,2,1,1,1,2,1,1,1,2,3,3,2,2,1,1,1,1,,,,4,,6,,,,10,11,12,,14,15,,,2,3,4,5,6,7,8,9,10,11,12,,14,,,1,1,10,3,2,2,3,1,3,3,3,1,1,2,3
887,1,2,2,10.17.246.29,1,1,1,10,3,5,54,1,2,5,1,1,,,,,,,,8,5,4,,,,,,,7,,,,11,,,,,3,,5,,,,,,11,,,,,1,,,3,,,,,,,,,6,1,1,1,1,1,1,1,1,3,2,1,1,2,4,3,2,2,1,1,1,2,,,,4,,,,8,,,11,12,,14,15,,,,,4,,6,,8,9,10,11,12,13,14,,,1,1,9,4,2,3,2,3,3,4,2,1,3,2,4
897,1,2,2,66.87.80.178,1,1,1,21,3,5,38,1,2,6,1,1,,,,,,,,8,5,7,,,3,,,,7,,,,,,,1,2,,4,,,,8,,,11,12,13,14,,2,,,,,,,,,,,,,2,4,4,2,1,3,4,2,3,3,2,2,2,2,2,3,5,1,1,3,1,1,2,,,,,,8,,,11,,,,,,1,2,,,,6,,,,,,,,,,,1,3,9,2,3,3,2,2,2,2,2,1,1,2,3
898,1,2,3,97.98.12.140,1,1,1,44,3,5,49,1,2,5,1,1,,,,,,,,8,5,1,1,2,3,,5,6,,,9,10,11,,,1,,,,,,,,,,11,,,,,1,,,,,5,,,,,,5,,1,1,1,3,1,1,1,1,2,2,1,1,1,1,3,2,1,1,1,1,1,1,2,,,5,,7,8,9,,11,,,14,,,,2,3,4,5,6,7,8,,,11,12,,14,,,3,3,8,4,3,4,3,2,2,2,3,2,2,3,2
899,1,2,1,73.193.97.223,1,1,1,48,4,7,30,1,2,5,4,1,,,,,,,,8,5,6,1,,,,,6,,,,,,,,,,3,,,,,,,,11,12,,,,2,,,,,,,,,,,,,2,1,3,1,3,1,1,3,4,1,2,2,2,1,4,1,2,1,2,1,1,,,,4,,,,8,,,,,13,14,15,,,,,,,6,,8,,,11,12,,14,,,2,3,9,4,3,5,3,3,2,3,2,2,2,2,4
901,2,2,3,50.82.204.87,1,2,1,15,2,4,50,1,2,3,2,1,,,,,,,,8,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,1,2,2,2,3,2,2,2,3,6,2,6,3,2,6,6,6,1,1,1,1,,,,,,,,,,,11,,,,,,,,,,,,,,,10,,,,,,,3,3,6,1,3,4,1,1,1,1,1,1,1,1,1
902,2,2,2,73.61.71.118,1,1,1,30,1,1,72,1,2,3,7,1,,,,,,,,8,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,2,1,2,1,1,1,1,1,1,1,2,2,4,6,6,1,1,1,1,,,,,,6,,8,9,,11,,,14,,,,2,3,,,6,,8,9,10,,12,,14,,,3,3,10,1,2,2,1,1,2,2,2,6,1,1,2
903,1,2,3,65.82.136.2,1,1,1,11,3,5,34,1,2,5,1,1,,,,,,,,8,6,1,,2,,,,6,7,,,,,,,,,,,,,,,,,,12,13,,,2,,,,,,,,,,,,,3,1,1,1,2,1,2,2,2,2,2,2,2,3,2,2,2,1,1,1,2,,2,3,4,,6,,8,,,11,12,,14,,,,2,,4,,,,,,,,,,,15,,3,1,8,4,3,2,3,2,2,2,2,1,1,3,4
905,2,2,1,172.89.136.209,1,1,1,5,4,7,64,1,2,3,1,1,,,,,,6,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,6,1,1,1,1,3,1,1,2,4,2,1,2,4,3,4,3,3,2,2,1,2,,,,4,,,,,,,,,,14,,,,2,3,,,,,,,,,,,,,,1,3,10,2,3,4,3,3,5,3,3,2,1,2,5
906,2,1,3,184.56.222.25,1,1,1,39,1,1,72,1,2,3,7,1,,,,,,,,8,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,1,3,2,1,1,1,3,2,1,1,4,2,3,2,1,1,1,2,1,,,,,,,,8,,10,11,,,,,,,,,,,,,,,10,,,,,15,,1,1,10,5,2,3,3,1,3,4,1,2,3,4,3
908,1,2,2,73.141.103.156,1,1,1,39,1,1,46,1,2,5,4,1,,,,,,,,8,4,4,,2,3,,,,7,,9,,11,,,,,3,,,,,,,,,12,,,,2,,,,,,,,,,,,,1,2,4,3,1,2,3,4,3,4,2,4,2,4,3,5,5,2,2,1,2,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,13,,,,2,2,3,5,5,5,5,2,5,4,5,4,1,5,5
909,3,2,1,71.90.187.118,1,2,1,19,3,6,31,1,2,4,1,1,,,,,,,,8,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,3,4,,,,,,,,6,3,2,4,2,4,2,2,4,2,1,1,4,1,4,2,5,5,1,3,1,3,,,3,4,,6,7,8,9,10,11,12,,14,,,1,,3,,,6,,8,9,10,11,12,,14,,,3,1,7,3,2,2,2,1,1,2,1,1,1,1,1
912,3,1,2,174.255.139.191,1,2,1,18,3,6,31,1,2,2,5,1,,,,,,,,8,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,,,,,,,,,6,2,4,4,1,2,3,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,16,3,3,0,6,6,6,6,6,6,6,6,6,6,6,6
915,2,1,1,24.180.48.181,1,1,1,5,4,7,42,1,2,3,1,1,,,,,,,,8,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,5,,,,3,,,,1,2,3,2,1,2,1,2,2,2,2,2,1,4,2,4,4,2,1,1,2,,,,4,,,,,,,11,,,14,,,,,,,,,,,,10,,,,14,,,3,2,6,3,1,2,4,2,2,2,1,2,4,5,3
916,2,2,2,74.71.151.233,1,1,1,33,1,1,59,1,2,3,7,1,,,,,,,,8,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,6,1,1,1,2,2,1,1,1,4,4,2,1,3,4,4,3,2,2,1,1,2,,,,4,,,,,,,,,,,,,,,,4,,,,,,10,,,,,,,3,3,8,5,5,5,5,2,5,2,4,2,2,5,5
917,3,1,1,67.86.42.101,1,2,1,33,1,2,34,1,2,5,3,1,,,,,,,,8,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,4,,,2,4,4,2,1,3,5,5,5,5,6,5,5,5,5,5,5,3,3,3,3,,,,,,6,,,,,,,,,,,,,,,,6,,,,,,,,,,,1,3,0,4,4,5,3,1,6,6,5,3,6,6,6
918,3,2,2,71.31.99.127,1,2,1,11,3,6,33,1,2,3,5,1,,,,,,,,8,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,2,,,,,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,,,,,6,,8,,,,,,,,,1,,,,,6,,,,,,,,,,,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1
919,1,2,3,24.164.155.30,1,1,1,33,1,1,49,1,2,5,1,1,,,,,,,,8,5,4,,2,,,,6,,8,9,,,,,1,2,3,,,,,,,,11,,13,14,,2,,,,,,,,,,,,,1,1,2,1,1,1,1,1,2,2,3,1,2,4,4,2,2,2,1,1,2,,,,4,,6,,,,10,,,,14,,,,,,4,,,,,,,,,,,,,2,2,4,5,2,2,3,2,2,2,3,2,2,2,4
921,3,1,2,172.58.62.194,1,2,2,50,2,4,33,1,2,3,5,1,,,,,,,,8,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,4,,,,2,,,,,2,2,4,1,4,2,1,2,5,2,1,2,2,2,5,5,5,1,3,1,3,,,,,,,,,,10,,,,14,,,,,,,,6,,,,10,,12,,14,,,1,1,10,5,3,4,5,2,5,5,2,2,1,1,3
922,2,2,3,104.240.11.134,1,1,1,24,2,3,59,1,2,3,2,1,,,,,,,,8,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,2,2,1,1,2,2,3,3,2,3,1,4,4,4,3,2,1,1,2,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,3,3,7,4,3,4,5,2,5,5,3,2,3,2,3
924,1,1,2,50.207.14.54,1,1,1,14,2,3,38,1,2,5,1,1,,,,,,,,8,5,7,,,3,,5,,7,,,,,12,,1,2,3,4,,,,8,,10,11,,13,14,,2,,,,,,,,,,,,,2,1,3,1,1,1,1,3,3,4,2,3,1,3,4,2,3,2,2,1,2,,,,4,,,,,,,,,,,15,,,,,4,,,,,,,,,13,,,,1,2,8,5,5,5,5,3,5,4,5,4,2,5,5
